scene,from,to,predicted_distance,true_distance,error,error_percentage
S0,Camera,T1,386.38825842385694,390.0,3.6117415761430607,0.9260875836264256
S1,Camera,T0,482.1985462821713,490.0,7.801453717828679,1.5921334118017711
S2,Camera,T0,227.87407145918783,225.0,2.874071459187832,1.2773650929723697
S3,Camera,T0,323.61742027981006,330.0,6.382579720189938,1.9341150667242235
S3,Camera,T1,441.7264421609103,380.0,61.72644216091032,16.24380056866061
S4,Camera,T0,425.0602599958257,360.0,65.06025999582567,18.07229444328491
S4,Camera,T1,257.27925161994654,260.0,2.7207483800534646,1.046441684635948
S5,Camera,T0,154.78479322516748,325.0,170.21520677483252,52.37390977687154
S5,Camera,T1,305.1033556014592,260.0,45.103355601459214,17.3474444620997
S6,Camera,T0,310.7878042784412,360.0,49.21219572155883,13.670054367099674
S6,Camera,T1,253.1661896929879,290.0,36.8338103070121,12.70131389896969
S7,Camera,T0,340.31958965042264,325.0,15.319589650422644,4.713719892437736
S7,Camera,T1,396.74837283816834,340.0,56.748372838168336,16.690697893578925
S8,Camera,T0,49.73628388733793,160.0,110.26371611266208,68.91482257041379
S8,Camera,T1,31.451826956221787,175.0,143.5481730437782,82.02752745358754
